Instancia,Mejor posible,Primer mejor,Aleatorio
chr12a,0.003433,0.003792,0.000421
chr15a,0.00635,0.003551,0.000475
chr20a,0.026156,0.019761,0.000595
nug21,0.027964,0.041645,0.000536
chr22a,0.05023,0.034667,0.000661
nug24,0.057157,0.058387,0.000626
chr25a,0.081039,0.046922,0.000807
nug27,0.12959,0.091156,0.000867
nug28,0.129343,0.079674,0.000954
lipa30a,0.139231,0.116615,0.000999
ste36a,0.523082,0.487484,0.001381
lipa40a,0.571939,0.309533,0.001646
sko42,1.11221,1.39335,0.002022
wil50,3.26927,3.58704,0.002199
lipa50a,2.73087,0.89528,0.002513
sko56,4.67231,6.42853,0.002522
lipa60a,4.14559,2.20789,0.003031
lipa70a,11.1112,3.74318,0.003342
sko72,28.7295,25.636,0.004021
lipa80a,21.0467,10.7404,0.004055
sko81,37.1344,60.6198,0.004808
lipa90a,39.7775,18.5285,0.005018
sko100a,112.649,123.815,0.074144
esc128,65.2117,20.6649,0.011112
tai256c,2079.78,1695.5579,0.638859
